uid,IPversion,protocol,dIPaddr,dport,allowed,
10031,4,17,216.58.192.42,443,true,
10031,4,6,167.172.0.84,443,true,
10031,4,17,172.217.2.138,443,true,
10031,4,6,162.247.243.147,443,true,
10031,4,6,167.172.0.84,443,true,
10031,4,6,34.193.106.40,443,true,
10031,4,6,34.193.106.40,443,true,
10031,4,6,34.193.106.40,443,true,
10031,4,6,34.193.106.40,443,true,
10031,4,6,151.101.2.132,443,true,
10031,4,6,151.101.2.110,443,true,
10031,4,6,151.101.2.110,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,6,52.217.89.78,443,true,
10031,4,6,52.217.89.78,443,true,
10031,4,6,52.217.89.78,443,true,
10031,4,6,52.217.89.78,443,true,
10031,4,17,216.58.192.42,443,true,
10031,4,6,13.32.213.108,443,true,
10031,4,6,13.32.213.108,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,17,172.217.3.142,443,true,
10031,4,17,172.217.3.129,443,true,
10031,4,17,172.217.3.129,443,true,
10031,4,6,172.217.3.142,443,true,
10031,4,17,172.217.15.194,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,17,8.8.8.8,443,true,
10031,4,17,172.217.0.170,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,6,104.193.88.123,80,true,
10031,4,6,104.193.88.123,80,true,
10031,4,6,104.193.88.123,80,true,
10031,4,6,104.193.90.88,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.88,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.87,443,true,
10031,4,6,104.193.90.88,443,true,
10031,4,6,113.113.67.48,443,true,
10031,4,6,113.113.67.48,443,true,
10031,4,6,116.207.168.38,443,true,
10031,4,6,116.207.168.38,443,true,
10031,4,6,103.235.47.110,80,true,
10031,4,6,103.235.47.110,80,true,
-1,6,58,ff02::2,0,true,
10031,4,6,110.242.69.147,80,true,
10031,4,6,110.242.69.147,80,true,
10031,4,6,110.242.69.147,80,true,
10031,4,6,110.242.69.147,80,true,
10031,4,6,110.242.69.147,80,true,
10031,4,6,110.242.69.147,80,true,
10031,4,6,104.193.90.89,443,true,
10031,4,6,104.193.88.77,80,true,
10031,4,6,104.193.88.77,443,true,
10031,4,6,104.193.88.77,443,true,
10031,4,6,104.193.88.77,80,true,
10031,4,6,103.235.46.191,443,true,
10031,4,6,103.235.46.191,443,true,
10031,4,6,104.193.88.77,80,true,
10031,4,6,104.193.88.77,80,true,
10031,4,6,1.71.157.35,443,true,
10031,4,6,1.71.157.35,443,true,
10031,4,6,1.71.157.35,443,true,
10031,4,6,1.71.157.35,443,true,
10031,4,6,103.235.47.110,80,true,
10031,4,6,103.235.47.110,80,true,
10031,4,6,103.235.47.110,80,true,
10031,4,6,103.235.47.110,80,true,
10031,4,6,110.242.68.136,80,true,
10031,4,6,110.242.68.136,80,true,
10031,4,6,110.242.68.142,80,true,
10031,4,6,110.242.68.142,80,true,
10031,4,6,117.185.17.11,443,true,
10031,4,6,117.185.17.11,443,true,
10031,4,6,104.193.88.109,443,true,
10031,4,6,116.114.98.35,443,true,
10031,4,6,116.114.98.35,443,true,
10031,4,6,116.114.98.35,443,true,
10031,4,6,116.114.98.35,443,true,
10031,4,6,113.105.172.38,443,true,
10031,4,6,113.105.172.38,443,true,
10031,4,6,103.235.46.191,443,true,
10031,4,6,104.193.88.77,443,true,
10031,4,6,104.193.88.77,443,true,
10031,4,6,104.193.88.125,443,true,
10031,4,6,104.193.88.112,443,true,
10031,4,6,116.114.98.35,443,true,
10031,4,6,104.193.88.112,443,true,
10031,4,6,104.193.88.125,443,true,
10031,4,6,116.114.98.35,443,true,
10031,4,6,104.193.88.112,443,true,
10031,4,6,106.225.194.36,443,true,
10031,4,6,106.225.194.36,443,true,
10061,4,6,31.13.67.35,443,true,
10031,4,17,8.8.8.8,443,true,
10031,4,6,104.193.88.123,80,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,6,110.242.69.147,80,true,
10031,4,6,104.193.90.89,443,true,
10031,4,17,172.217.3.67,443,true,
10031,4,6,103.235.46.191,443,true,
10031,4,6,103.235.46.191,443,true,
10031,4,17,172.217.2.193,443,true,
10031,4,17,172.217.2.193,443,true,
10031,4,17,142.250.64.194,443,true,
10031,4,6,52.1.25.52,443,true,
10031,4,6,52.1.25.52,443,true,
10031,4,6,52.1.25.52,443,true,
10031,4,6,54.230.252.20,443,true,
10031,4,6,54.230.252.20,443,true,
10031,4,6,54.230.252.20,443,true,
10031,4,6,54.230.252.20,443,true,
10031,4,6,54.230.252.20,443,true,
10031,4,6,54.230.252.20,443,true,
10031,4,6,72.21.91.66,443,true,
10031,4,6,54.230.252.20,443,true,
10031,4,6,172.217.3.142,443,true,
10031,4,6,23.21.45.31,443,true,
10031,4,6,172.217.3.142,443,true,
10031,4,6,23.21.45.31,443,true,
10031,4,6,34.96.102.137,443,true,
10031,4,6,104.16.19.94,443,true,
10031,4,6,34.96.102.137,443,true,
10031,4,6,104.16.19.94,443,true,
10031,4,17,172.217.3.74,443,true,
10031,4,17,172.217.3.142,443,true,
10031,4,17,34.96.102.137,443,true,
10031,4,17,34.96.102.137,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,172.217.2.200,443,true,
10031,4,6,54.230.31.124,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,172.217.2.200,443,true,
10031,4,6,54.230.31.124,443,true,
10031,4,17,142.250.64.182,443,true,
10031,4,17,172.217.1.97,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,6,184.26.132.44,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,8.8.8.8,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,8.8.8.8,443,true,
10031,4,6,104.122.74.246,443,true,
10031,4,6,104.122.74.246,443,true,
10031,4,6,104.122.74.246,443,true,
10031,4,6,104.122.147.198,443,true,
10031,4,6,104.122.74.246,443,true,
10031,4,6,172.217.8.72,443,true,
10031,4,6,104.122.147.198,443,true,
10031,4,6,104.122.74.246,443,true,
10031,4,6,172.217.8.72,443,true,
10031,4,6,47.246.24.253,443,true,
10031,4,6,47.246.24.253,443,true,
10031,4,6,104.122.147.198,443,true,
10031,4,6,198.11.132.198,443,true,
10031,4,6,198.11.132.198,443,true,
10031,4,6,104.122.147.198,443,true,
10031,4,6,216.58.192.46,443,true,
10031,4,17,172.217.203.156,443,true,
10031,4,6,216.58.192.46,443,true,
10031,4,6,47.88.68.22,443,true,
10031,4,6,47.88.68.22,443,true,
10031,4,6,47.88.68.22,443,true,
10031,4,6,47.88.68.22,443,true,
10031,4,6,47.88.68.22,443,true,
10031,4,6,47.88.68.22,443,true,
10031,4,6,47.246.2.253,443,true,
10031,4,6,47.246.2.253,443,true,
10031,4,6,198.11.132.198,443,true,
10031,4,6,47.246.22.254,443,true,
10031,4,6,47.246.22.254,443,true,
10031,4,6,47.246.22.254,443,true,
10031,4,6,198.11.132.198,443,true,
10031,4,6,47.88.68.103,443,true,
10031,4,6,47.246.24.254,443,true,
10031,4,6,47.246.24.254,443,true,
10031,4,6,47.246.24.254,443,true,
10031,4,6,47.246.24.254,443,true,
10031,4,6,47.88.68.103,443,true,
10031,4,6,47.246.2.253,443,true,
10031,4,6,198.11.146.6,443,true,
10031,4,6,47.246.2.253,443,true,
10031,4,6,198.11.146.6,443,true,
10031,4,6,205.204.101.187,443,true,
10031,4,6,205.204.101.187,443,true,
10031,4,6,203.119.169.240,443,true,
10031,4,6,203.119.169.240,443,true,
10031,4,6,203.119.169.80,443,true,
10031,4,6,104.122.147.198,443,true,
10031,4,6,47.246.24.254,443,true,
10031,4,6,203.119.169.80,443,true,
10031,4,6,47.254.95.149,443,true,
10031,4,6,47.254.95.149,443,true,
10031,4,6,47.254.95.149,443,true,
10031,4,6,47.254.95.149,443,true,
10031,4,6,47.254.95.149,443,true,
10031,4,6,47.254.95.149,443,true,
10031,4,6,47.254.95.149,443,true,
10031,4,6,13.32.213.39,80,true,
10031,4,6,13.32.213.39,80,true,
10031,4,6,13.32.213.39,80,true,
10031,4,6,13.32.213.39,443,true,
10031,4,17,216.58.192.46,443,true,
10031,4,6,151.101.66.109,443,true,
10031,4,17,172.217.15.202,443,true,
10031,4,6,104.16.124.175,443,true,
10031,4,6,172.67.172.36,443,true,
10031,4,6,172.67.172.36,443,true,
10031,4,6,13.32.213.110,443,true,
10031,4,6,13.32.213.7,443,true,
10031,4,6,13.32.213.7,443,true,
10031,4,6,13.32.213.7,443,true,
10031,4,6,172.67.172.36,443,true,
10031,4,6,13.32.213.7,443,true,
10031,4,6,151.101.66.109,443,true,
10031,4,6,104.16.124.175,443,true,
10031,4,6,13.32.213.110,443,true,
10031,4,17,172.217.2.131,443,true,
10031,4,6,54.230.227.98,443,true,
10031,4,6,104.22.15.23,443,true,
10031,4,6,54.230.31.70,443,true,
10031,4,17,142.250.64.194,443,true,
10031,4,6,54.230.227.98,443,true,
10031,4,6,54.230.31.70,443,true,
10031,4,6,104.22.15.23,443,true,
10031,4,17,172.217.8.72,443,true,
10031,4,6,13.32.213.110,443,true,
10031,4,6,13.32.213.110,443,true,
10031,4,6,13.32.213.7,443,true,
10031,4,17,142.250.64.174,443,true,
10031,4,6,54.230.227.98,443,true,
10031,4,6,54.230.227.98,443,true,
10031,4,6,35.169.164.39,443,true,
10031,4,6,35.169.164.39,443,true,
10031,4,6,208.118.62.69,443,true,
10031,4,6,54.230.227.6,443,true,
10031,4,6,31.13.67.20,443,true,
10031,4,6,208.118.62.69,443,true,
10031,4,6,31.13.67.20,443,true,
10031,4,6,54.230.227.6,443,true,
10031,4,6,204.79.197.200,443,true,
10031,4,6,13.32.213.58,443,true,
10031,4,6,104.16.89.20,443,true,
10031,4,6,104.16.89.20,443,true,
10031,4,6,13.32.213.58,443,true,
10031,4,6,104.16.89.20,443,true,
10031,4,6,204.79.197.200,443,true,
10031,4,6,23.222.77.235,443,true,
10031,4,6,23.222.77.235,443,true,
10031,4,6,54.230.31.84,443,true,
10031,4,6,13.32.213.22,443,true,
10031,4,6,54.230.31.84,443,true,
10031,4,17,142.250.64.234,443,true,
10031,4,6,13.32.213.22,443,true,
10031,4,6,35.186.226.184,443,true,
10031,4,6,35.186.226.184,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,142.250.64.195,443,true,
10031,4,6,31.13.67.35,443,true,
10031,4,6,31.13.67.35,443,true,
10031,4,17,35.186.226.184,443,true,
10031,4,6,107.178.246.49,443,true,
10031,4,6,107.178.246.49,443,true,
10031,4,6,192.0.80.239,80,true,
10031,4,6,192.0.80.239,80,true,
10031,4,6,192.0.80.239,80,true,
10031,4,6,192.0.80.242,80,true,
10031,4,6,192.0.80.242,80,true,
10031,4,6,192.0.80.242,80,true,
10031,4,6,192.0.80.242,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.77.32,80,true,
10031,4,6,192.0.77.32,80,true,
10031,4,6,23.56.6.162,80,true,
10031,4,6,192.0.77.32,80,true,
10031,4,6,23.56.6.162,80,true,
10031,4,6,192.0.77.32,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,23.56.6.162,443,true,
10031,4,6,23.56.6.162,443,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,23.56.6.162,443,true,
10031,4,6,23.56.6.162,443,true,
10031,4,6,23.56.6.162,443,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,23.56.6.162,443,true,
10031,4,6,192.0.73.2,80,true,
10031,4,6,192.0.72.20,80,true,
10031,4,6,192.0.72.20,80,true,
10031,4,6,192.0.78.23,443,true,
10031,4,6,192.0.78.23,443,true,
10031,4,6,192.0.72.20,443,true,
10031,4,6,192.0.72.20,443,true,
10031,4,6,23.211.233.71,443,true,
10031,4,6,23.211.233.71,443,true,
10031,4,17,172.217.2.131,443,true,
10031,4,6,23.56.6.162,443,true,
10061,4,6,31.13.67.35,443,true,
10031,4,6,192.0.80.242,443,true,
10031,4,6,192.0.80.242,443,true,
10031,4,6,192.0.80.242,443,true,
10031,4,6,192.0.78.23,443,true,
10031,4,6,192.0.78.9,443,true,
10031,4,6,192.0.76.3,443,true,
10031,4,6,192.0.77.32,443,true,
10031,4,6,192.0.76.3,443,true,
10031,4,17,172.217.0.174,443,true,
10031,4,6,104.90.61.143,443,true,
10031,4,6,104.90.61.143,443,true,
10031,4,17,142.250.64.234,443,true,
10031,4,6,23.211.233.71,443,true,
10031,4,17,172.217.2.131,443,true,
10031,4,6,192.0.73.2,80,true,
10031,4,17,172.217.2.131,443,true,
10031,4,17,142.250.64.174,443,true,
10031,4,6,23.222.77.235,443,true,
10031,4,17,172.217.2.196,443,true,
10031,4,17,35.186.226.184,443,true,
10031,4,17,8.8.8.8,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,17,172.217.15.202,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,6,172.67.196.206,80,true,
10031,4,6,172.67.196.206,80,true,
10031,4,6,172.67.196.206,80,true,
10031,4,6,172.67.196.206,443,true,
10031,4,17,172.217.8.72,443,true,
10031,4,17,142.250.64.174,443,true,
10031,4,6,104.16.18.94,443,true,
10031,4,6,104.16.18.94,443,true,
10031,4,6,31.13.67.20,443,true,
10031,4,6,31.13.67.20,443,true,
10031,4,6,172.67.75.9,443,true,
10031,4,6,172.67.75.9,443,true,
10031,4,6,192.229.163.25,443,true,
10031,4,17,172.217.2.202,443,true,
10031,4,6,192.229.163.25,443,true,
10031,4,6,139.45.197.243,443,true,
10031,4,6,139.45.197.243,443,true,
10031,4,6,139.45.197.234,443,true,
10031,4,6,139.45.197.234,443,true,
10031,4,6,104.244.42.72,443,true,
10031,4,6,31.13.67.35,443,true,
10031,4,6,104.244.42.72,443,true,
10031,4,6,31.13.67.35,443,true,
10031,4,6,139.45.197.243,443,true,
10031,4,6,139.45.197.239,443,true,
10031,4,6,139.45.197.239,443,true,
10031,4,6,139.45.197.243,443,true,
10031,4,6,139.45.195.8,443,true,
10031,4,6,139.45.195.8,443,true,
10031,4,6,139.45.197.239,443,true,
10031,4,6,104.26.8.123,443,true,
10031,4,6,104.26.8.123,443,true,
10031,4,6,139.45.197.164,443,true,
10031,4,17,74.125.134.127,19302,true,
10031,6,17,2607:f8b0:400c:c00::7f,19302,true,
10031,4,6,139.45.197.164,443,true,
10031,4,6,139.45.195.254,443,true,
10031,4,6,139.45.195.254,443,true,
10031,4,6,139.45.197.240,443,true,
10031,4,6,139.45.195.254,443,true,
10031,4,6,192.241.146.175,443,true,
10031,4,6,192.241.146.175,443,true,
10031,4,6,192.241.146.175,80,true,
10031,4,6,192.241.146.175,80,true,
10031,4,6,162.247.243.146,443,true,
10031,4,6,162.247.243.146,443,true,
10031,4,6,104.122.53.211,443,true,
10031,4,6,104.122.53.211,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.144,443,true,
10031,4,6,23.56.5.219,443,true,
10031,4,6,23.56.5.219,443,true,
10031,4,6,23.56.5.219,443,true,
10031,4,6,23.56.5.219,443,true,
10031,4,6,172.67.170.211,80,true,
10031,4,6,172.67.170.211,80,true,
10031,4,6,172.67.170.211,443,true,
10031,4,17,172.217.15.202,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,6,104.22.52.65,443,true,
10031,4,6,104.22.52.65,443,true,
10031,4,6,104.22.52.65,443,true,
10031,4,6,35.190.80.1,443,true,
10031,4,6,35.190.80.1,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,17,172.217.3.68,443,true,
10031,4,6,172.67.170.225,443,true,
10031,4,17,172.217.15.202,443,true,
10031,4,6,172.67.170.225,443,true,
10031,4,17,172.217.15.195,443,true,
10031,4,6,211.159.191.77,80,true,
10031,4,6,211.159.191.77,80,true,
10031,4,6,211.159.191.77,80,true,
10031,4,6,52.156.85.238,443,true,
10031,4,6,47.246.24.232,443,true,
10031,4,6,47.246.24.232,443,true,
10031,4,6,47.246.24.232,443,true,
10031,4,6,47.246.24.232,443,true,
10031,4,6,47.246.24.231,443,true,
10031,4,6,211.152.146.86,443,true,
10031,4,6,211.152.146.86,443,true,
10031,4,6,211.152.146.86,443,true,
10031,4,6,211.152.146.86,443,true,
10031,4,6,211.152.146.86,443,true,
10031,4,6,211.152.146.86,443,true,
10031,4,6,211.152.146.98,443,true,
10031,4,6,211.152.146.98,443,true,
-1,4,1,8.8.8.8,0,true,
10031,4,6,39.105.225.4,443,true,
10031,4,6,52.156.120.137,443,true,
10031,4,6,52.156.120.137,443,true,
-1,4,1,10.0.2.3,0,true,
10031,4,6,51.141.184.179,443,true,
10031,4,6,51.141.184.179,443,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,202.108.119.194,80,true,
-1,4,1,8.8.8.8,0,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,163.181.50.232,80,true,
10031,4,6,47.246.22.185,80,true,
10031,4,6,47.246.22.185,80,true,
10031,4,6,47.246.22.185,80,true,
10031,4,6,47.246.22.185,80,true,
10031,4,6,47.246.22.185,80,true,
10031,4,6,47.246.22.185,80,true,
10031,4,6,163.181.50.232,80,true,
10031,4,6,47.246.43.172,80,true,
10031,4,6,47.246.43.172,80,true,
10031,4,6,47.246.43.172,80,true,
10031,4,6,47.246.43.172,80,true,
10031,4,6,47.246.43.172,80,true,
10031,4,6,157.185.163.158,443,true,
10031,4,6,157.185.163.158,443,true,
10031,4,6,47.246.43.172,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,163.181.50.232,80,true,
10031,4,6,203.192.2.70,80,true,
10031,4,6,163.181.50.232,80,true,
10031,4,6,203.192.2.70,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,47.246.22.216,80,true,
10031,4,6,47.246.22.216,80,true,
10031,4,6,47.246.22.216,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,202.108.119.194,80,true,
10031,4,6,150.109.206.154,80,true,
10031,4,6,150.109.206.154,80,true,
10031,4,6,47.246.22.216,80,true,
10031,4,6,47.246.22.216,80,true,
10031,4,6,47.246.22.216,80,true,
10031,4,17,172.217.2.202,443,true,
10031,4,6,163.181.50.229,80,true,
10031,4,6,163.181.50.229,80,true,
10031,4,6,163.181.50.229,80,true,
10031,4,6,163.181.50.229,80,true,
10031,4,6,163.181.50.229,80,true,
-1,4,1,8.8.8.8,0,true,
10031,4,6,163.181.50.229,80,true,
-1,4,1,8.8.8.8,0,true,
10031,4,6,203.192.9.13,80,true,
10031,4,6,203.192.9.13,80,true,
10061,4,6,31.13.67.35,443,true,

